element,fixture,round,was_home,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,total_points,expected_goals,expected_assists,expected_goals_conceded,defensive_contribution,clearances_blocks_interceptions,recoveries,tackles,team,opponent,gw
279,13,2,False,90,1,0,0,1,0,0,0,0,0,0,0,0,24,6,0.0,0.0,1.29,7,5,5,2,11,7,2
279,25,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,11,2,3
28,7,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,2,5,1
28,16,2,True,90,1,0,0,0,3,0,0,0,0,0,4,0,18,2,0.0,0.01,1.41,0,1,13,0,6,5,2
28,29,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,6,1,3
280,4,1,True,69,1,0,0,1,0,0,0,0,0,0,0,0,23,6,0.0,0.01,1.16,2,1,3,1,11,16,1
280,13,2,False,45,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0.0,0.0,1.09,4,4,1,0,11,7,2
280,25,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,11,2,3
281,4,1,True,20,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0.05,0.0,0.67,3,2,2,1,11,16,1
281,13,2,False,45,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0.0,0.0,0.2,3,3,2,0,11,7,2
281,25,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,11,2,3
282,4,1,True,84,1,0,0,1,0,0,0,0,0,0,0,0,24,6,0.02,0.07,1.76,6,5,1,1,11,16,1
282,13,2,False,90,1,0,0,1,0,0,0,0,0,0,0,0,21,6,0.0,0.07,1.29,2,1,4,1,11,7,2
282,25,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,11,2,3
283,4,1,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,11,16,1
283,13,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,11,7,2
283,25,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,11,2,3
284,4,1,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,11,16,1
284,13,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,11,7,2
284,25,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,11,2,3
285,4,1,True,26,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0.0,0.0,0.96,2,2,1,0,11,16,1
285,13,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,11,7,2
285,25,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,11,2,3
286,4,1,True,90,1,0,0,1,0,0,0,0,0,0,0,0,8,3,0.05,0.03,1.83,10,3,3,4,11,16,1
286,13,2,False,82,1,0,1,1,0,0,0,0,0,0,0,0,23,6,0.12,0.02,1.11,10,3,5,2,11,7,2
286,25,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,11,2,3
287,4,1,True,19,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0.0,0.0,0.67,3,1,1,1,11,16,1
287,13,2,False,31,0,1,0,0,0,0,0,0,0,0,0,0,24,6,0.58,0.0,0.2,1,1,0,0,11,7,2
287,25,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,11,2,3
288,4,1,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,11,16,1
288,13,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,11,7,2
288,25,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,11,2,3
289,4,1,True,90,1,0,0,1,0,0,0,0,1,0,0,0,9,2,0.0,0.0,1.83,9,4,1,4,11,16,1
289,13,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,11,7,2
289,25,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,11,2,3
29,7,1,False,90,1,0,0,0,4,0,0,0,0,0,3,0,1,1,0.0,0.0,3.77,0,2,6,0,2,5,1
29,20,2,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,2,1,2
29,25,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,2,11,3
290,4,1,True,90,1,0,1,1,0,0,0,0,0,0,0,0,20,6,0.0,0.44,1.83,3,0,2,1,11,16,1
290,13,2,False,90,1,0,0,1,0,0,0,0,1,0,0,0,6,2,0.0,0.01,1.29,10,2,4,4,11,7,2
290,25,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,11,2,3
291,4,1,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,11,16,1
291,13,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,11,7,2
291,25,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,11,2,3
292,4,1,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,11,16,1
292,13,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,11,7,2
292,25,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,11,2,3
293,4,1,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,11,16,1
293,13,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,11,7,2
293,25,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,11,2,3
294,4,1,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,11,16,1
294,13,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,11,7,2
294,25,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,11,2,3
295,4,1,True,90,1,0,1,1,0,0,0,0,0,0,0,0,21,5,0.16,0.01,1.83,5,3,2,0,11,16,1
295,13,2,False,90,1,0,0,1,0,0,0,0,1,0,0,0,7,1,0.0,0.01,1.29,4,0,4,0,11,7,2
295,25,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,11,2,3
296,4,1,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,11,16,1
296,13,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,11,7,2
296,25,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,11,2,3
297,4,1,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,11,16,1
297,13,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,11,7,2
