element,web_name,team,pos,price,xp_total,gws,xp_per_gw,value
423,Shaw,MUN,DEF,4.5,14.834846167216797,6,2.4724743612027997,3.2966324816037327
258,Castagne,FUL,DEF,4.5,14.812568496230563,6,2.468761416038427,3.291681888051236
564,Scherpen,IPS,GK,4.5,14.80920674529953,6,2.468201124216588,3.2909348322887846
522,Gray,TOT,MID,5.0,14.791835473646966,6,2.4653059122744945,2.958367094729393
116,Dunk,BHA,DEF,4.5,14.77334430402516,6,2.46222405067086,3.28296540089448
95,O.Dango,BRE,MID,6.4,14.77091296126197,6,2.461818826876995,2.307955150197183
254,Robinson,FUL,DEF,4.5,14.702425983790413,6,2.4504043306317356,3.2672057741756473
112,Van Hecke,TOT,DEF,4.9,14.613144854203842,6,2.435524142367307,2.9822744600416002
47,Kamara,AVL,MID,5.0,14.600609744592548,6,2.4334349574320915,2.9201219489185095
37,Lindelöf,AVL,DEF,4.5,14.537448981144902,6,2.4229081635241503,3.2305442180322004
149,Colwill,CHE,DEF,4.9,14.50476883026493,6,2.4174614717108214,2.9601569041356997
233,Mykolenko,EVE,DEF,4.5,14.398288956201037,6,2.3997148260335064,3.199619768044675
34,Pau,AVL,DEF,4.5,14.382836762489042,6,2.39713946041484,3.196185947219787
412,Lammens,MUN,GK,5.0,14.378173504649379,6,2.3963622507748963,2.8756347009298757
244,Armstrong,EVE,MID,5.0,14.33668339407564,6,2.38944723234594,2.867336678815128
536,Reinildo,SUN,DEF,4.5,14.192922452269125,6,2.3654870753781876,3.1539827671709166
105,Anthony,BRE,MID,6.0,14.169797491855586,6,2.3616329153092646,2.3616329153092646
369,Ngumoha,LIV,MID,5.9,14.16205648073153,6,2.3603427467885885,2.4003485560561915
250,Leno,FUL,GK,4.5,14.113319178272487,6,2.3522198630454145,3.1362931507272194
265,Berge,FUL,MID,5.0,14.09213808675564,6,2.34868968112594,2.818427617351128
61,Truffert,BOU,DEF,5.5,14.063152853692996,6,2.343858808948833,2.5569368824896355
455,Tonali,TOT,MID,5.4,13.95763477426944,6,2.32627246237824,2.5847471804202664
96,Damsgaard,BRE,MID,5.5,13.820239133826188,6,2.3033731889710314,2.5127707516047617
57,Petrović,BOU,GK,4.5,13.673027033008617,6,2.2788378388347694,3.038450451779693
260,Wilson,LEE,MID,6.4,13.636506941901619,6,2.272751156983603,2.130704209672128
138,Kostoulas,BHA,FWD,5.5,13.5514431360163,6,2.2585738560027164,2.4638987520029634
558,Schlager,NFO,MID,5.0,13.53846486468076,6,2.256410810780127,2.707692972936152
267,Lukić,IPS,MID,5.0,13.515641026354754,6,2.2526068377257924,2.703128205270951
7,Lewis-Skelly,ARS,MID,5.5,13.429987805582101,6,2.23833130093035,2.441815964651291
71,Cook,BOU,MID,5.0,13.410524176176292,6,2.235087362696049,2.6821048352352586
183,Rudoni,COV,MID,5.0,13.345902261041157,6,2.2243170435068595,2.6691804522082316
36,Maatsen,AVL,DEF,4.5,13.301151248483093,6,2.2168585414138486,2.9558113885517985
432,Mainoo,MUN,MID,5.5,13.150415041227502,6,2.1917358402045837,2.3909845529504548
377,Munoz,LIV,MID,6.5,13.101496578455992,6,2.1835827630759987,2.0156148582239988
529,Roefs,SUN,GK,5.0,13.032983497634946,6,2.172163916272491,2.6065966995269894
257,Bassey,FUL,DEF,4.5,12.962937646230282,6,2.160489607705047,2.880652810273396
588,Khalaili,CRY,DEF,5.0,12.955100593775436,6,2.159183432295906,2.591020118755087
429,Rashford,MUN,MID,7.0,12.816817759346474,6,2.1361362932244123,1.830973965620925
401,Marmoush,TOT,FWD,7.0,12.814553020913149,6,2.1357588368188583,1.8306504315590213
417,Dalot,MUN,DEF,5.0,12.765519779061995,6,2.1275866298436656,2.553103955812399
148,Hato,CHE,DEF,4.5,12.742000632131479,6,2.123666772021913,2.8315556960292176
